,jp,en
1299,裏,"裏
うら

bottom (or another side that is hidden from view)
undersurface
opposite side
reverse side
rear
back
behind (the house)
lining
inside
out of sight
behind the scenes
proof
opposite (of a prediction, common sense, etc.)
inverse (of a hypothesis, etc.)
bottom (of an inning)
last half (of an inning)
"
1300,水泳,"水泳
すいえい

swimming
"
1301,地域,"地域
ちいき

area
region
"
1302,決定,"決定
けってい

decision
determination
"
1303,全体,"全体
ぜんたい

whole
entirety
whatever (is the matter)
"
1304,代表,"代表
だいひょう

representative
representation
delegation
type
example
model
"
1305,判断,"判断
はんだん

judgment
judgement
decision
conclusion
adjudication
divination
judgement
"
1306,巨大,"巨大
きょだい

huge
gigantic
enormous
"
1307,ひどい,"ひどい
ひどい

cruel
heartless
hard
harsh
severe
violent
intense
strong
heavy
extreme
very bad
terrible
awful
excessive
exorbitant
unreasonable
outrageous
unfair
unjust
"
1308,二日,"二日
ふつか

second day of the month
two days
"
1309,確か,"確か
たしか

sure
certain
positive
definite
reliable
trustworthy
safe
sound
firm
accurate
correct
exact
If I'm not mistaken
If I remember correctly
If I remember rightly
"
1310,輸出,"輸出
ゆしゅつ
しゅしゅつ

export
efferent
"
1311,身長,"身長
しんちょう

height (of body)
stature
"
1312,三日,"三日
みっか

the third day of the month
three days
"
1313,拾う,"拾う
ひろう

to pick up
to find
to gather
"
1314,天,"天
てん
あめ
あま

sky
heaven
svarga (heaven-like realm visited as a stage of death and rebirth)
deva (divine being of Buddhism)
"
1315,相談,"相談
そうだん

consultation
discussion
"
1316,中止,"中止
ちゅうし

suspension
stoppage
discontinuance
interruption
"
1317,学習,"学習
がくしゅう

study
learning
tutorial
"
1318,引っ越す,"引っ越す
ひっこす

to move (house)
to change residence
"
1319,ので,"ので
ので

that being the case
because of ...
the reason is ....
given that...
"
1320,くらい,"くらい
くらい

approximately
about
around
or so
to (about) the extent that
(almost) enough that
so ... that ...
at least
as ... as ...
like
"
1321,続ける,"続ける
つづける

to continue
to keep up
to keep on
"
1322,間,"間
あいだ
あわい

space (between)
gap
interval
distance
time (between)
pause
break
span (temporal or spatial)
stretch
period (while)
relationship (between, among)
members (within, among)
due to
because of
"
1323,近代,"近代
きんだい

present day
modern times
recent times
early modern period (in Japan, usu. from the Meiji Restoration until the end of World War II)
"
1324,背景,"背景
はいけい

background
scenery
backdrop
setting
circumstance
context
backing
support (from behind the scenes)
"
1325,事実,"事実
じじつ

fact
truth
reality
"
1326,責任,"責任
せきにん

duty
responsibility (incl. supervision of staff)
liability
onus
"
1327,渡す,"渡す
わたす

to ferry across (e.g. a river)
to carry across
to traverse
to lay across
to build across
to hand over
to hand in
to pass
to give
to transfer
"
1328,表現,"表現
ひょうげん

expression
presentation
representation
notation
"
1329,物質,"物質
ぶっしつ

material
substance
matter
"
1330,都市,"都市
とし

town
city
municipal
urban
"
1331,一生,"一生
いっしょう

whole life
a lifetime
all through life
one existence
a generation
an age
the whole world
the era
(the only, the greatest, etc.) of one's life
"
1332,大統領,"大統領
だいとうりょう

president
chief executive
"
1333,同様,"同様
どうよう

identical
equal to
same (kind)
like
similarity
"
1334,水道,"水道
すいどう

water service
water supply
"
1335,年代,"年代
ねんだい

age
era
period
date
"
1336,制度,"制度
せいど

system
institution
organization
organisation
"
1337,状況,"状況
じょうきょう

state of affairs (around you)
situation
circumstances
"
1338,会員,"会員
かいいん

member
the membership
"
1339,以外,"以外
いがい

with the exception of
excepting
"
1340,結婚式,"結婚式
けっこんしき

marriage ceremony
wedding
nuptials
"
1341,効果,"効果
こうか

effect
effectiveness
efficacy
result
effects (e.g. sound effects, visual effects, special effects)
"
1342,線,"線
せん

line
stripe
stria
line (e.g. telephone line)
wire
ray (e.g. X-ray)
beam
line (e.g. of a railroad)
track
route
lane
outline
contours
form
level
division
line (of action)
position
approach
policy
principle
impression one leaves
air one gives off
"
1343,大変,"大変
たいへん

very
greatly
immense
enormous
great
serious
grave
dreadful
terrible
difficult
hard
major incident
disaster
"
1344,表,"表
おもて

surface
face (i.e. the visible side of an object)
front (of a building, etc.)
obverse side (i.e. ""head"") of a coin
outside
exterior
appearance
public
first half (of an inning)
top (of an inning)
cover (for tatami mats, etc.)
foreground
"
1345,二時,"二時
にじ

two o'clock
"
1346,汚い,"汚い
きたない

dirty
filthy
foul
unclean
disordered
messy
untidy
poor (e.g. handwriting)
indecent (language, etc.)
dirty
vulgar
coarse
dastardly
mean
base
underhanded
stingy
greedy
"
1347,入る,"入る
はいる

to enter
to go into
to break into
to join
to enroll
to contain
to hold
to accommodate
to have (an income of)
to get
to receive
to score
"
1348,喫茶店,"喫茶店
きっさてん
きっちゃてん

coffee shop
tearoom
coffee lounge
coffeehouse
cafe
"
1349,九つ,"九つ
ここのつ

nine
"
1350,飲む,"飲む
のむ

to drink
to gulp
to swallow
to take (medicine)
to smoke (tobacco)
to engulf
to overwhelm
to keep down
to suppress
to accept (e.g. demand, condition)
to make light of
to conceal
"
1351,五日,"五日
いつか

the fifth day of the month
five days
"
1352,背,"背
せ
せい

height
stature
back
spine
reverse
rear side
ridge (of a mountain)
"
1353,四日,"四日
よっか

fourth day of the month
four days
"
1354,出口,"出口
でぐち

exit
gateway
way out
outlet
leak
vent
"
1355,後,"後
あと

behind
rear
after
later
after one's death
remainder
the rest
descendant
successor
heir
more (e.g. five more minutes)
left
also
in addition
past
previous
"
1356,多い,"多い
おおい

many
numerous
"
1357,塩,"塩
しお
えん

salt (i.e. sodium chloride)
common salt
table salt
salt (e.g. sodium chloride, calcium sulfate, etc.)
hardship
toil
trouble
saltiness
"
1358,六日,"六日
むいか
むゆか
むよか

sixth day of the month
six days
"
1359,今週,"今週
こんしゅう

this week
"
1360,池,"池
いけ

pond
"
1361,八日,"八日
ようか

the eighth day of the month
eight days
"
1362,九日,"九日
ここのか
ここぬか

the ninth day of the month
nine days
"
1363,どうぞ,"どうぞ
どうぞ

please
kindly
I beg of you
by all means
feel free
you are welcome
here you are
"
1364,色,"色
いろ

colour
color
complexion
appearance
look
love
lust
sensuality
love affair
lover
kind
type
variety
"
1365,冷たい,"冷たい
つめたい
つべたい

cold (to the touch)
chilly
icy
freezing
coldhearted
unfeeling
"
1366,置く,"置く
おく

to put
to place
to leave (behind)
to establish (an organization, a facility, a position, etc.)
to set up
to appoint (someone to a certain position)
to hire
to employ
to place (one's trust, one's faith, etc)
to bear (in mind etc)
to put down a tool (e.g. a pen) hence stopping what one is doing with that tool
to take in (boarders, etc.)
to provide lodging in one's house
to separate spatially or temporally
to do something in advance
to leave something in a certain state
to keep something in a certain state
"
1367,道,"道
みち

road
street
way
path
course
route
lane
distance
ways (e.g. ""a long ways"")
the way (of proper conduct, etc.)
one's way
morals
teachings (esp. Confucian or Buddhist)
dogma
field (of medicine, etc.)
subject
way
method
means
"
1368,鼻,"鼻
はな

nose
"
1369,帽子,"帽子
ぼうし

hat
cap
"
1370,玄関,"玄関
げんかん

entranceway
entry hall
vestibule
foyer
entryway
mud room
"
1371,下手,"下手
へた

unskillful
poor
awkward
imprudent
untactful
"
1372,薬,"薬
くすり

medicine
pharmaceuticals
(legal) drugs
efficacious chemical (i.e. gunpowder, pesticide, etc.)
(pottery) glaze
small bribe
"
1373,泳ぐ,"泳ぐ
およぐ

to swim
"
1374,交番,"交番
こうばん

police box
small neighborhood police station
alternation
alternating (e.g. current)
"
1375,靴下,"靴下
くつした

socks
sock
stockings
stocking
"
1376,記録,"記録
きろく

record
minutes
document
a record (e.g. in sports)
results
score
to record
to document
to set a record (e.g. in sports)
to show a result
to reach a value
"
1377,開発,"開発
かいはつ
かいほつ

development
exploitation
"
1378,記事,"記事
きじ

article
news story
report
account
"
1379,物価,"物価
ぶっか

prices of commodities
prices (in general)
cost-of-living
"
1380,一日,"一日
いちにち
いちじつ
ひとひ
ひとえ

one day
first day of the month
"
1381,工業,"工業
こうぎょう (

manufacturing) industry
"
1382,国民,"国民
こくみん

nation
nationality
people
citizen
"
1383,生じる,"生じる
しょうじる

to produce
to yield
to cause
to result from
to arise
to be generated
"
1384,両方,"両方
りょうほう

both
both sides
both parties
"
1385,複雑,"複雑
ふくざつ

complex
complicated
mixed (feelings)
"
1386,一年間,"一年間
いちねんかん (

period of) one year
"
1387,数字,"数字
すうじ

numeral
figure
digit
numeric character
"
1388,伝統,"伝統
でんとう

tradition
convention
"
1389,工事,"工事
こうじ

construction work
construction
work (related to construction, e.g. painting, concrete-pouring, etc.)
"
1390,決して,"決して
けっして
けして

never
by no means
not in the least
in no way
"
1391,警察官,"警察官
けいさつかん

policeman
policewoman
police officer
"
1392,活動,"活動
かつどう

action
activity
(military etc.) operation
movie (esp. during the silent movie period)
"
1393,最高,"最高
さいこう

highest
supreme
the most
"
1394,神経,"神経
しんけい

nerve
nerves
sensitivity
"
1395,要求,"要求
ようきゅう

demand
firm request
requisition
requirement
desire
"
1396,国会,"国会
こっかい

National Diet
parliament
congress
"
1397,本人,"本人
ほんにん

the person himself
"
1398,解決,"解決
かいけつ

settlement
solution
resolution
"
1399,個人,"個人
こじん

individual
private person
personal
private
"
1400,名人,"名人
めいじん

master
expert
"
1401,風呂,"風呂
ふろ

bath
bathtub
bathroom
bathhouse
room for drying lacquerware
base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)
"
1402,価値,"価値
かち

value
worth
merit
"
1403,弱い,"弱い
よわい

weak
frail
delicate
tender
unskilled
weak (wine)
"
1404,薄い,"薄い
うすい

thin
pale
light
watery
dilute
sparse
weak (taste, etc.)
slim (probability, etc.)
small
"
1405,洗う,"洗う
あらう

to wash
to investigate
"
1406,掃除,"掃除
そうじ

cleaning
sweeping
dusting
scrubbing
"
1407,やる,"やる
やる

to do
to undertake
to perform
to play (a game)
to study
to send
to dispatch
to despatch
to put
to move
to turn (one's head, glance, etc.)
to give (esp. to someone of equal or lower status)
to let have
to present
to bestow
to confer
to make (a vehicle) go faster
to run (a business)
to keep
to be engaged in
to practice (law, medicine, etc.)
to practise
to have (food, drink, etc.)
to eat
to drink
to smoke
to hold (a performance)
to perform
to show
to ease (one's mind)
to harm
to injure
to kill
to have sex with
to live
to get by
to get along
to do ... completely
to do ... broadly
to do ... to a great distance
to do ... for (someone of equal or lower status)
to do ... to (sometimes with negative nuance)
to make active efforts to ...
"
1408,牛肉,"牛肉
ぎゅうにく

beef
"
1409,洋服,"洋服
ようふく

Western-style clothes (cf traditional Japanese clothes)
"
1410,咲く,"咲く
さく

to bloom
"
1411,辞書,"辞書
じしょ

dictionary
lexicon
letter of resignation
"
1412,六つ,"六つ
むっつ
むつ

six
"
1413,切符,"切符
きっぷ

ticket
"
1414,つまらない,"つまらない
つまらない

dull
uninteresting
boring
tedious
insignificant
unimportant
trifling
trivial
worthless
absurd
foolish
silly
stupid
useless
pointless
disappointing
"
1415,若い,"若い
わかい

young
youthful
immature
green
low (number)
small
"
1416,より,"より
より

than
from
out of
since
at
on
except
but
other than
more
"
1417,服,"服
ふく

clothes (esp. Western clothes)
counter for doses of medicine, gulps of tea, drags of a cigarette, etc.
"
1418,並ぶ,"並ぶ
ならぶ

to line up
to stand in a line
to rival
to match
to equal
"
1419,昨日,"昨日
きのう
さくじつ

yesterday
"
1420,果物,"果物
くだもの
かぶつ

fruit
"
1421,影,"影
かげ

shadow
silhouette
figure
shape
reflection
image
ominous sign
light (stars, moon)
trace
shadow (of one's former self)
"
1422,文化的,"文化的
ぶんかてき

cultural
"
1423,感じ,"感じ
かんじ

feeling
sense
impression
"
1424,不可,"不可
ふか

wrong
bad
improper
unjustifiable
inadvisable
not allowed
not possible
failing grade
"
1425,新聞紙,"新聞紙
しんぶんし
しんぶんがみ

newspaper
newsprint
newspaper used for wrapping, packing, etc.
"
1426,被害,"被害
ひがい (

suffering) damage
injury
harm
"
1427,様子,"様子
ようす

state
state of affairs
situation
circumstances
appearance
look
aspect
sign
indication
"
